gene_id	gene_name	longest_transcript_exon_length
ENSMUSG00000107155.1	Gm43793	1333
ENSMUSG00000106910.1	Gm16273	268
ENSMUSG00000106732.1	Gm43792	2210
ENSMUSG00000106772.1	Gm43794	692
ENSMUSG00000107091.1	Gm43343	1926
ENSMUSG00000106720.1	Gm43795	2366
ENSMUSG00000106706.1	C530043K16Rik	3109
ENSMUSG00000087601.3	Uchl1os	1685
ENSMUSG00000029223.12	Uchl1	1177
ENSMUSG00000107300.1	Gm43279	2512
ENSMUSG00000107284.1	Gm43280	1550
ENSMUSG00000037736.19	Limch1	7498
ENSMUSG00000082420.2	Gm6517	511
ENSMUSG00000106749.1	Gm43281	2704
ENSMUSG00000107290.1	Gm43282	2157
ENSMUSG00000085839.1	Gm15949	126
ENSMUSG00000086964.1	Gm15948	403
ENSMUSG00000106785.1	Gm42713	945
ENSMUSG00000080601.1	Gm23841	114
ENSMUSG00000012520.10	Phox2b	3013
ENSMUSG00000106995.1	Gm33167	2643
ENSMUSG00000107319.1	Gm42670	1292
ENSMUSG00000037720.16	Tmem33	6247
ENSMUSG00000029221.15	Slc30a9	5711
ENSMUSG00000107266.1	Gm43698	555
ENSMUSG00000092060.4	Bend4	9075
ENSMUSG00000097840.1	Gm26756	1294
ENSMUSG00000106832.1	Gm42632	2411
ENSMUSG00000106925.1	Gm20072	292
ENSMUSG00000107385.3	C330024D21Rik	2764
ENSMUSG00000106947.1	1700025A08Rik	609
ENSMUSG00000050010.8	Shisa3	3760
ENSMUSG00000037685.15	Atp8a1	8178
ENSMUSG00000094435.1	Gm23617	95
ENSMUSG00000107041.1	Gm42735	1646
ENSMUSG00000085363.1	Gm15478	2172
ENSMUSG00000106859.1	Gm42737	1755
ENSMUSG00000106837.1	D630030B08Rik	3479
ENSMUSG00000107136.1	Gm42466	1301
ENSMUSG00000087261.2	Gm15477	2351
ENSMUSG00000107206.1	Gm42736	1353
ENSMUSG00000095346.1	Gm21905	87
ENSMUSG00000106880.1	4930425K10Rik	745
ENSMUSG00000094719.4	Gm5108	543
ENSMUSG00000106897.1	Gm43027	3691
ENSMUSG00000107257.1	Gm43028	481
ENSMUSG00000068082.12	Grxcr1	1071
ENSMUSG00000106747.1	Gm43025	1886
ENSMUSG00000107289.1	Gm43026	325
ENSMUSG00000087880.1	Gm23605	127
ENSMUSG00000106854.1	Gm42850	201
ENSMUSG00000107117.1	Gm43842	2982
ENSMUSG00000037653.7	Kctd8	2859
ENSMUSG00000107208.1	D130004A15Rik	1577
ENSMUSG00000107234.1	Gm43371	1031
ENSMUSG00000107363.1	Gm43373	2870
ENSMUSG00000106673.1	Gm43374	2391
ENSMUSG00000106753.1	Gm43230	2129
ENSMUSG00000107312.1	Gm43229	1850
ENSMUSG00000107148.1	Gm42888	4361
ENSMUSG00000093129.1	Gm24368	106
ENSMUSG00000096290.1	Gm23932	107
ENSMUSG00000043484.3	Gm5867	592
ENSMUSG00000106986.1	Gm42887	1119
ENSMUSG00000029158.9	Yipf7	1219
ENSMUSG00000107291.1	3110031N09Rik	326
ENSMUSG00000029208.16	Guf1	6321
ENSMUSG00000029209.15	Gnpda2	6251
ENSMUSG00000080566.1	Gm26044	126
ENSMUSG00000084579.1	Gm23661	87
ENSMUSG00000106284.1	Gm43139	284
ENSMUSG00000088863.1	Gm23067	62
ENSMUSG00000094803.1	Gm26072	107
ENSMUSG00000106613.1	Gm42652	614
ENSMUSG00000106549.1	Gm42653	2839
ENSMUSG00000001260.10	Gabrg1	4771
ENSMUSG00000000560.9	Gabra2	5852
ENSMUSG00000049387.10	Cox7b2	542
ENSMUSG00000029211.11	Gabra4	4108
ENSMUSG00000029212.11	Gabrb1	13737
ENSMUSG00000105489.1	Gm38562	1126
ENSMUSG00000080736.1	Gm15617	771
ENSMUSG00000082705.1	Gm15616	375
ENSMUSG00000029213.11	Commd8	3895
ENSMUSG00000105016.1	Gm42569	472
ENSMUSG00000046808.17	Atp10d	6052
ENSMUSG00000005220.10	Corin	4862
ENSMUSG00000089195.1	Gm25768	98
ENSMUSG00000093400.1	Gm20647	857
ENSMUSG00000093644.1	Gm19560	514
ENSMUSG00000095112.1	Gm23712	107
ENSMUSG00000093771.1	AU023070	387
ENSMUSG00000072889.9	Nfxl1	4172
ENSMUSG00000105510.1	Gm43815	990
ENSMUSG00000105865.2	Gm34144	259
ENSMUSG00000063935.3	Zar1	2494
ENSMUSG00000060204.5	Gm5868	1382
ENSMUSG00000067220.12	Cnga1	2739
ENSMUSG00000105124.2	Gm5297	1171
ENSMUSG00000106136.2	4933408A14Rik	729
ENSMUSG00000067219.9	Nipal1	4206
ENSMUSG00000054892.14	Txk	5303
ENSMUSG00000105089.2	Gm43717	310
ENSMUSG00000029217.16	Tec	2659
ENSMUSG00000106739.1	Gm43499	2107
ENSMUSG00000052154.4	Gm9870	2356
ENSMUSG00000036087.18	Slain2	4833
ENSMUSG00000063656.6	Gm10135	252
ENSMUSG00000088268.1	Gm24776	86
ENSMUSG00000029219.10	Slc10a4	2106
ENSMUSG00000081849.2	Gm15847	1065
ENSMUSG00000107373.1	Gm42668	2487
ENSMUSG00000070733.13	Fryl	11340
ENSMUSG00000107171.1	Gm42572	3378
ENSMUSG00000086376.2	1700071G01Rik	367
ENSMUSG00000107109.1	Gm42571	2464
ENSMUSG00000090561.2	Gm17207	645
ENSMUSG00000107087.1	Gm34411	280
ENSMUSG00000100175.6	1700025M24Rik	725
ENSMUSG00000106999.1	Gm42734	878
ENSMUSG00000029152.13	Ociad1	3354
ENSMUSG00000107292.1	Gm42733	519
ENSMUSG00000107331.1	Gm42732	1197
ENSMUSG00000029153.11	Ociad2	2554
ENSMUSG00000107272.1	Gm34583	459
ENSMUSG00000106958.1	Gm35960	767
ENSMUSG00000029154.13	Cwh43	2716
ENSMUSG00000106675.1	Gm43798	394
ENSMUSG00000082039.2	Gm15653	907
ENSMUSG00000051674.15	Dcun1d4	4117
ENSMUSG00000067206.3	Lrrc66	3198
ENSMUSG00000029156.11	Sgcb	3786
ENSMUSG00000106773.1	Gm43799	579
ENSMUSG00000029155.16	Spata18	1978
ENSMUSG00000107027.1	1700019F05Rik	533
ENSMUSG00000106968.1	C78283	848
ENSMUSG00000054814.14	Usp46	4738
ENSMUSG00000087250.2	Usp46os1	508
ENSMUSG00000086234.3	Usp46os2	831
ENSMUSG00000106993.1	Gm43417	5207
ENSMUSG00000106973.1	Gm43415	750
ENSMUSG00000107255.1	Gm43416	1015
ENSMUSG00000106943.2	Dancr	2347
ENSMUSG00000093355.1	Snora26	121
ENSMUSG00000106735.1	A330058E17Rik	3890
ENSMUSG00000049907.8	Rasl11b	1812
ENSMUSG00000062110.14	Scfd2	3834
ENSMUSG00000107209.1	Gm42599	469
ENSMUSG00000080700.2	Gm15981	457
ENSMUSG00000084132.2	Gm15982	554
ENSMUSG00000107009.1	6720475M21Rik	2753
ENSMUSG00000106992.1	Gm43167	1606
ENSMUSG00000029227.15	Fip1l1	4987
ENSMUSG00000107165.1	Gm43747	1330
ENSMUSG00000029228.15	Lnx1	3098
ENSMUSG00000085657.7	Gm15984	1534
ENSMUSG00000085497.2	Gm15985	343
ENSMUSG00000106987.1	Gm42575	1674
ENSMUSG00000106806.1	Gm17906	901
ENSMUSG00000072874.4	Gm6116	1437
ENSMUSG00000107306.1	Gm42577	3211
ENSMUSG00000029229.8	Chic2	9699
ENSMUSG00000107205.1	Gm42576	2846
ENSMUSG00000107162.1	Gm18593	1139
ENSMUSG00000035946.7	Gsx2	1665
ENSMUSG00000106900.1	Gm2040	289
ENSMUSG00000107192.1	Gm19583	1366
ENSMUSG00000107258.2	Olfr1401-ps1	211
ENSMUSG00000029231.15	Pdgfra	6834
ENSMUSG00000106760.1	Gm42802	456
ENSMUSG00000107245.1	Gm42803	451
ENSMUSG00000099060.1	Mir7025	74
ENSMUSG00000106704.1	Gm42799	328
ENSMUSG00000106689.1	Gm18345	1390
ENSMUSG00000088210.1	Gm22084	105
ENSMUSG00000107386.1	Gm42800	733
ENSMUSG00000089078.1	Gm24502	105
ENSMUSG00000005672.12	Kit	5241
ENSMUSG00000106754.1	Gm43101	488
ENSMUSG00000107251.1	Gm43102	2324
ENSMUSG00000106726.1	Gm43100	674
ENSMUSG00000107061.1	Gm19590	1195
ENSMUSG00000103684.1	Gm38180	395
ENSMUSG00000100936.1	Gm28865	723
ENSMUSG00000088783.1	Gm25374	101
ENSMUSG00000062960.10	Kdr	5924
ENSMUSG00000089481.1	Gm24738	123
ENSMUSG00000106756.1	Gm32780	540
ENSMUSG00000107020.1	Gm6051	352
ENSMUSG00000029233.15	Srd5a3	2220
ENSMUSG00000029234.13	Tmem165	1897
ENSMUSG00000083152.1	Apc-ps1	470
ENSMUSG00000029238.11	Clock	9744
ENSMUSG00000106831.1	Ube2n-ps1	459
ENSMUSG00000106815.1	Gm43658	4176
ENSMUSG00000098449.1	Gm7467	652
ENSMUSG00000029235.14	Pdcl2	1181
ENSMUSG00000087037.1	4930432L08Rik	1608
ENSMUSG00000029236.4	Nmu	828
ENSMUSG00000107160.1	Gm42666	152
ENSMUSG00000106982.1	Gm42665	586
ENSMUSG00000091204.8	Gm7271	836
ENSMUSG00000036435.13	Exoc1	4451
ENSMUSG00000036403.15	Cep135	5629
ENSMUSG00000103529.1	A730089K16Rik	2427
ENSMUSG00000036377.18	C530008M17Rik	6921
ENSMUSG00000083874.1	Gm7494	441
ENSMUSG00000055923.16	Aasdh	4066
ENSMUSG00000029246.14	Ppat	4158
ENSMUSG00000072852.3	2310040G07Rik	478
ENSMUSG00000029247.17	Paics	2482
ENSMUSG00000036323.14	Srp72	3625
ENSMUSG00000063820.11	Arl9	534
ENSMUSG00000086632.1	1700112J05Rik	793
ENSMUSG00000029248.14	Thegl	1719
ENSMUSG00000059325.14	Hopx	1261
ENSMUSG00000087541.1	Hopxos	1661
ENSMUSG00000085858.1	Gm15831	516
ENSMUSG00000106783.1	Chaer1	651
ENSMUSG00000053030.11	Spink2	643
ENSMUSG00000107034.1	Gm19060	421
ENSMUSG00000029249.15	Rest	7004
ENSMUSG00000093061.1	Mir5098	82
ENSMUSG00000036285.10	Noa1	2815
ENSMUSG00000029250.5	Polr2b	4145
ENSMUSG00000107238.1	Gm42758	283
ENSMUSG00000036256.13	Igfbp7	1200
ENSMUSG00000106828.1	Gm34648	338
ENSMUSG00000106906.1	Gm34728	414
ENSMUSG00000107232.1	1700017L05Rik	558
ENSMUSG00000106985.1	Gm42761	738
ENSMUSG00000047652.4	Pea15b	555
ENSMUSG00000089415.1	Gm22011	123
ENSMUSG00000106996.1	Gm31049	1302
ENSMUSG00000106960.1	Gm42673	337
ENSMUSG00000044058.8	Mthfr-ps1	601
ENSMUSG00000107309.1	Gm43232	364
ENSMUSG00000077178.1	Gm25756	136
ENSMUSG00000107308.1	Gm43234	18
ENSMUSG00000107183.1	Gm18452	1111
ENSMUSG00000088422.1	Gm22553	295
ENSMUSG00000084435.1	Gm23429	149
ENSMUSG00000095594.1	Gm24304	107
ENSMUSG00000065235.1	Gm22974	103
ENSMUSG00000083829.1	Gm2199	874
ENSMUSG00000037605.16	Adgrl3	6793
ENSMUSG00000107226.1	Gm43594	3442
ENSMUSG00000107375.1	Gm43084	947
ENSMUSG00000106611.1	Gm22048	89
ENSMUSG00000087431.1	Gm16054	1819
ENSMUSG00000106746.1	2900064F13Rik	1008
ENSMUSG00000106860.1	1700008H02Rik	1684
ENSMUSG00000099863.1	1700031L13Rik	812
ENSMUSG00000106926.1	Rpl7-ps7	799
ENSMUSG00000080586.1	Mir1187	122
ENSMUSG00000089162.1	Gm24129	97
ENSMUSG00000106606.1	Gm43217	367
ENSMUSG00000049537.10	Tecrl	2350
ENSMUSG00000081822.1	Gm15626	868
ENSMUSG00000104537.1	Gm44303	83
ENSMUSG00000077288.1	Gm25765	132
ENSMUSG00000084731.1	Gm25806	122
ENSMUSG00000077474.1	Gm24792	128
ENSMUSG00000106576.1	Gm4866	589
ENSMUSG00000029245.16	Epha5	7328
ENSMUSG00000079067.5	Hmgn2-ps1	279
ENSMUSG00000106598.1	Gm43532	3816
ENSMUSG00000105658.1	Gm43531	1114
ENSMUSG00000106389.1	Gm21006	667
ENSMUSG00000104878.1	Gm43567	1978
ENSMUSG00000064555.1	Gm24626	161
ENSMUSG00000106225.1	Gm43564	211
ENSMUSG00000029253.12	Cenpc1	3192
ENSMUSG00000106282.1	Gm2287	1084
ENSMUSG00000029254.16	Stap1	3350
ENSMUSG00000064859.1	Gm24524	170
ENSMUSG00000035898.13	Uba6	6590
ENSMUSG00000029255.8	Gnrhr	2265
ENSMUSG00000061184.8	Tmprss11c	1615
ENSMUSG00000094833.1	Gm25473	107
ENSMUSG00000061259.11	Tmprss11d	2716
ENSMUSG00000072845.3	Tmprss11a	3058
ENSMUSG00000079451.9	Tmprss11g	2873
ENSMUSG00000048764.16	Tmprss11f	3605
ENSMUSG00000035861.6	Tmprss11b	4171
ENSMUSG00000106507.1	Gm43056	2791
ENSMUSG00000054537.8	Tmprss11e	3416
ENSMUSG00000089851.1	Gm16579	2566
ENSMUSG00000105704.1	Gm43055	879
ENSMUSG00000104937.1	Gm43057	429
ENSMUSG00000035851.14	Ythdc1	6313
ENSMUSG00000105309.1	Gm21461	863
ENSMUSG00000029260.15	Ugt2b34	4312
ENSMUSG00000096303.1	Gm25211	107
ENSMUSG00000035836.2	Ugt2b1	2573
ENSMUSG00000075983.1	Gm24121	106
ENSMUSG00000104798.1	Gm20121	1594
ENSMUSG00000106185.1	Gm7631	1100
ENSMUSG00000104802.1	Gm5869	1257
ENSMUSG00000035811.10	Ugt2b35	3359
ENSMUSG00000105315.1	Gm18635	1060
ENSMUSG00000106003.1	Gm42465	492
ENSMUSG00000070704.10	Ugt2b36	1888
ENSMUSG00000105625.1	Gm31230	785
ENSMUSG00000106502.1	Gm42795	76
ENSMUSG00000054630.7	Ugt2b5	1858
ENSMUSG00000106111.1	Gm5717	1062
ENSMUSG00000106330.1	Gm43369	1552
ENSMUSG00000105240.1	Gm19418	580
ENSMUSG00000057425.3	Ugt2b37	1894
ENSMUSG00000105897.2	Gm7646	1559
ENSMUSG00000035780.2	Ugt2a3	2117
ENSMUSG00000106303.1	Gm7652	1151
ENSMUSG00000105192.1	Gm42796	1087
ENSMUSG00000104664.1	Gm35570	681
ENSMUSG00000106397.1	Gm21049	987
ENSMUSG00000106132.1	Gm43370	284
ENSMUSG00000061906.5	Ugt2b38	1891
ENSMUSG00000029268.14	Ugt2a2	2539
ENSMUSG00000106677.1	Ugt2a1	2570
ENSMUSG00000107180.1	Gm43638	2297
ENSMUSG00000029269.11	Sult1b1	2612
ENSMUSG00000029273.10	Sult1d1	2420
ENSMUSG00000029272.8	Sult1e1	1242
ENSMUSG00000106074.1	Mir3969	92
ENSMUSG00000106217.1	Gm43368	409
ENSMUSG00000105246.1	Gm21043	1517
ENSMUSG00000070702.9	Csn1s1	1530
ENSMUSG00000063157.9	Csn2	3945
ENSMUSG00000094386.1	Gm25066	123
ENSMUSG00000105796.1	Gm42845	105
ENSMUSG00000095333.1	Gm24314	123
ENSMUSG00000061937.7	Csn1s2a	1205
ENSMUSG00000061388.11	Csn1s2b	2063
ENSMUSG00000002240.12	Prr27	1337
ENSMUSG00000104839.1	Gm42794	835
ENSMUSG00000067156.5	Gm7337	2655
ENSMUSG00000009580.15	Odam	1370
ENSMUSG00000099605.1	1700066N21Rik	783
ENSMUSG00000105888.1	BC037156	430
ENSMUSG00000001622.15	Csn3	1750
ENSMUSG00000055961.7	BC051076	2868
ENSMUSG00000007457.3	2310003L06Rik	1603
ENSMUSG00000100704.1	Gm28434	500
ENSMUSG00000007907.4	Cabs1	1505
ENSMUSG00000029280.13	Smr3a	635
ENSMUSG00000105905.1	Gm7709	1858
ENSMUSG00000104640.1	Gm42623	379
ENSMUSG00000029281.13	Smr2	813
ENSMUSG00000079439.1	Gm11116	54
ENSMUSG00000105807.1	Gm42622	355
ENSMUSG00000079438.1	Gm11115	54
ENSMUSG00000106065.1	Gm42621	275
ENSMUSG00000105576.1	Gm42164	379
ENSMUSG00000106593.1	Gm7048	1891
ENSMUSG00000090302.1	Gm7714	685
ENSMUSG00000064156.8	Prol1	1163
ENSMUSG00000029282.3	Amtn	1022
ENSMUSG00000106633.1	Gm43431	340
ENSMUSG00000105013.1	Gm7721	546
ENSMUSG00000029288.11	Ambn	1854
ENSMUSG00000029286.12	Enam	5483
ENSMUSG00000067149.6	Jchain	2341
ENSMUSG00000106322.1	Gm43432	121
ENSMUSG00000070697.4	Utp3	1629
ENSMUSG00000029291.11	Rufy3	4049
ENSMUSG00000044221.14	Grsf1	2538
ENSMUSG00000006262.15	Mob1b	8967
ENSMUSG00000095524.1	Gm15682	483
ENSMUSG00000029366.10	Dck	3078
ENSMUSG00000105640.1	Gm42912	716
ENSMUSG00000106305.1	Gm42911	1630
ENSMUSG00000082389.2	Mkrn1-ps1	1390
ENSMUSG00000060961.15	Slc4a4	7931
ENSMUSG00000035540.12	Gc	1801
ENSMUSG00000106534.1	Gm6366	826
ENSMUSG00000104715.1	Gm43515	2141
ENSMUSG00000035528.4	Npffr2	1643
ENSMUSG00000043635.12	Adamts3	3937
ENSMUSG00000084500.1	Gm25320	324
ENSMUSG00000077175.1	Gm25758	129
ENSMUSG00000043618.9	Eif5al3-ps	447
ENSMUSG00000035505.14	Cox18	1333
ENSMUSG00000055204.15	Ankrd17	10458
ENSMUSG00000054945.4	Gm9958	1869
ENSMUSG00000106725.1	Gm43363	2647
ENSMUSG00000029368.10	Alb	2034
ENSMUSG00000054932.6	Afp	2063
ENSMUSG00000106788.1	Gm43449	371
ENSMUSG00000029369.17	Afm	2465
ENSMUSG00000106863.3	Gm42109	664
ENSMUSG00000106705.1	Gm2602	571
ENSMUSG00000070690.7	5830473C10Rik	2308
ENSMUSG00000029370.10	Rassf6	2184
ENSMUSG00000107072.1	Gm43090	314
ENSMUSG00000029371.7	Cxcl5	1863
ENSMUSG00000029372.7	Ppbp	1083
ENSMUSG00000029373.7	Pf4	588
ENSMUSG00000029379.10	Cxcl3	3498
ENSMUSG00000029375.6	Cxcl15	2127
ENSMUSG00000093082.1	Gm24322	70
ENSMUSG00000106957.1	Gm43085	3132
ENSMUSG00000107044.1	Gm43086	2657
ENSMUSG00000029380.11	Cxcl1	1871
ENSMUSG00000088075.1	Gm22816	117
ENSMUSG00000058427.10	Cxcl2	2066
ENSMUSG00000107218.1	Gm42530	550
ENSMUSG00000029376.8	Mthfd2l	4148
ENSMUSG00000035020.11	Epgn	1760
ENSMUSG00000107350.1	Gm19610	408
ENSMUSG00000029377.5	Ereg	4128
ENSMUSG00000029378.5	Areg	1215
ENSMUSG00000094938.1	Gm23092	107
ENSMUSG00000107198.1	Gm19619	3201
ENSMUSG00000082361.6	Btc	4027
ENSMUSG00000034981.9	Parm1	5068
ENSMUSG00000107261.1	Trmt112-ps1	375
ENSMUSG00000106917.1	Gm7832	880
ENSMUSG00000099468.1	Gm28271	351
ENSMUSG00000101978.1	1700063O14Rik	492
ENSMUSG00000106712.1	Gm19649	822
ENSMUSG00000107337.1	Gm43596	884
ENSMUSG00000096726.2	Gm5558	495
ENSMUSG00000107301.1	Gm43688	310
ENSMUSG00000029397.15	Rchy1	1967
ENSMUSG00000107200.1	Gm43039	963
ENSMUSG00000102644.5	Thap6	3151
ENSMUSG00000088102.1	Gm24113	276
ENSMUSG00000096035.2	Odaph	2830
ENSMUSG00000029403.14	Cdkl2	4066
ENSMUSG00000097479.1	Gm26582	3135
ENSMUSG00000029405.16	G3bp2	4232
ENSMUSG00000088712.1	Gm22728	129
ENSMUSG00000088949.1	Gm24931	107
ENSMUSG00000029407.10	Uso1	3898
ENSMUSG00000084111.4	Gm15710	636
ENSMUSG00000107354.1	Gm43040	558
ENSMUSG00000084745.1	Gm25290	144
ENSMUSG00000029409.7	U90926	524
ENSMUSG00000029410.11	Ppef2	2878
ENSMUSG00000029413.14	Naaa	2414
ENSMUSG00000029415.4	Sdad1	5020
ENSMUSG00000106698.1	Gm43599	528
ENSMUSG00000088623.1	Gm23031	119
ENSMUSG00000029417.9	Cxcl9	2889
ENSMUSG00000034842.16	Art3	1815
ENSMUSG00000034855.13	Cxcl10	2230
ENSMUSG00000060183.6	Cxcl11	3794
ENSMUSG00000082068.1	Gm2673	1608
ENSMUSG00000034826.14	Nup54	2352
ENSMUSG00000088777.1	Gm26039	144
ENSMUSG00000029426.8	Scarb2	4698
ENSMUSG00000099160.1	Mir6415	100
ENSMUSG00000057068.15	Fam47e	1500
ENSMUSG00000047963.7	Stbd1	1985
ENSMUSG00000050050.17	Ccdc158	3676
ENSMUSG00000029381.16	Shroom3	6765
ENSMUSG00000092266.1	Gm20500	321
ENSMUSG00000089268.1	Mir1961	112
ENSMUSG00000097135.1	4932430I15Rik	3306
ENSMUSG00000106930.1	Gm6450	574
ENSMUSG00000089018.1	Gm25521	108
ENSMUSG00000045314.5	Sowahb	3900
ENSMUSG00000088240.1	Gm22915	136
ENSMUSG00000107374.1	Gm43172	2137
ENSMUSG00000107194.1	Gm43173	593
ENSMUSG00000058013.11	Sept11	5028
ENSMUSG00000107019.1	Gm43682	2090
ENSMUSG00000063015.12	Ccni	2804
ENSMUSG00000106870.1	Gm43681	1903
ENSMUSG00000083700.1	Gm2986	382
ENSMUSG00000029384.5	2010109A12Rik	917
ENSMUSG00000029385.14	Ccng2	4537
ENSMUSG00000053208.10	Kat2b-ps	2490
ENSMUSG00000107356.1	Gm18118	645
ENSMUSG00000106699.1	Gm43224	898
ENSMUSG00000096044.4	Gm16427	2042
ENSMUSG00000070686.10	C87414	2852
ENSMUSG00000107346.1	Gm43225	1439
ENSMUSG00000106954.1	Gm43226	259
ENSMUSG00000107159.1	Gm7919	1389
ENSMUSG00000107247.1	Gm43227	677
ENSMUSG00000107392.1	Gm7792	2473
ENSMUSG00000096230.4	Gm16429	1848
ENSMUSG00000106701.1	Gm6346	1443
ENSMUSG00000106916.1	Gm3089	1395
ENSMUSG00000072822.2	BC061212	1897
ENSMUSG00000072821.4	Gm6351	1542
ENSMUSG00000096259.2	Gm3106	2383
ENSMUSG00000094560.1	A430089I19Rik	1848
ENSMUSG00000095718.2	Gm6502	1533
ENSMUSG00000073497.6	AA792892	1980
ENSMUSG00000107315.1	BC080696	1218
ENSMUSG00000074011.4	Gm7682	1582
ENSMUSG00000095074.4	Gm3139	2048
ENSMUSG00000095503.4	Gm3147	1848
ENSMUSG00000094195.2	Gm6509	1582
ENSMUSG00000092073.8	Gm6205	2515
ENSMUSG00000107064.1	Gm42561	1442
ENSMUSG00000107187.1	Gm7663	1240
ENSMUSG00000095954.4	Gm3183	2048
ENSMUSG00000107285.1	Gm3176	1249
ENSMUSG00000073510.2	Gm7647	1389
ENSMUSG00000096742.1	Gm6367	2464
ENSMUSG00000107376.1	Gm42661	1442
ENSMUSG00000106780.1	Gm7939	1050
ENSMUSG00000092166.2	Gm7942	1528
ENSMUSG00000095996.4	Gm16513	2832
ENSMUSG00000096066.4	Gm10424	1848
ENSMUSG00000107348.1	Gm6468	1443
ENSMUSG00000079424.8	Gm3259	2623
ENSMUSG00000107122.1	Gm32072	1434
ENSMUSG00000106821.1	Gm7961	1436
ENSMUSG00000107357.1	Gm42662	1431
ENSMUSG00000070677.8	D5Ertd577e	2469
ENSMUSG00000079423.6	Gm3286	2028
ENSMUSG00000094043.2	Gm7971	1848
ENSMUSG00000106690.1	Gm6348	1443
ENSMUSG00000107213.1	Gm3302	1395
ENSMUSG00000096139.4	Gm7978	1897
ENSMUSG00000072814.10	Gm7982	1536
ENSMUSG00000072813.5	E330014E10Rik	2476
ENSMUSG00000106805.1	Gm42714	1364
ENSMUSG00000096617.3	Gm5559	1002
ENSMUSG00000094471.1	Gm25937	107
ENSMUSG00000023078.6	Cxcl13	1150
ENSMUSG00000107092.1	Gm7993	1384
ENSMUSG00000034724.18	Cnot6l	8564
ENSMUSG00000090468.3	Gm2840	411
ENSMUSG00000029486.13	Mrpl1	3556
ENSMUSG00000034687.8	Fras1	15848
ENSMUSG00000106263.1	Gm33050	501
ENSMUSG00000105446.1	Gm42605	385
ENSMUSG00000106526.1	Gm42604	801
ENSMUSG00000029484.12	Anxa3	1595
ENSMUSG00000105356.1	Gm42603	2146
ENSMUSG00000104955.1	1700016F12Rik	655
ENSMUSG00000106319.1	Gm42601	1541
ENSMUSG00000104698.1	Gm42602	3224
ENSMUSG00000064550.1	Gm24623	194
ENSMUSG00000105283.1	Gm33370	489
ENSMUSG00000105871.1	Gm43147	542
ENSMUSG00000106357.1	Gm8013	462
ENSMUSG00000105377.1	Gm43148	520
ENSMUSG00000105257.1	Gm43144	485
ENSMUSG00000105006.1	Gm9484	1159
ENSMUSG00000034663.13	Bmp2k	7387
ENSMUSG00000104591.1	Gm43145	628
ENSMUSG00000055725.11	Paqr3	4075
ENSMUSG00000104736.1	Gm33609	2694
ENSMUSG00000105850.1	Gm2861	666
ENSMUSG00000067161.6	Gm5560	892
ENSMUSG00000104717.1	Gm33969	388
ENSMUSG00000046000.5	Naa11	3424
ENSMUSG00000097516.7	4930467D21Rik	2530
ENSMUSG00000050553.3	Gk2	1880
ENSMUSG00000029338.13	Antxr2	5656
ENSMUSG00000105801.1	C430019N01Rik	1567
ENSMUSG00000106518.1	Gm42759	2439
ENSMUSG00000105117.1	Gm42760	311
ENSMUSG00000105441.1	Gm8041	616
ENSMUSG00000098073.1	Gm8048	996
ENSMUSG00000035456.9	Prdm8	4553
ENSMUSG00000045238.9	A730035I17Rik	2248
ENSMUSG00000029337.2	Fgf5	2501
ENSMUSG00000057816.7	Cfap299	1018
ENSMUSG00000104545.1	E030032P16Rik	2931
ENSMUSG00000106273.1	Gm43767	381
ENSMUSG00000105814.1	Mir703	109
ENSMUSG00000077424.1	Gm24279	131
ENSMUSG00000079416.1	Gm11111	99
ENSMUSG00000067101.5	1700010H22Rik	1003
ENSMUSG00000029335.5	Bmp3	6609
ENSMUSG00000029334.14	Prkg2	4968
ENSMUSG00000089659.2	Gm3470	420
ENSMUSG00000105579.2	Gm43251	2712
ENSMUSG00000089809.9	Rasgef1b	3339
ENSMUSG00000105686.1	Gm35394	3252
ENSMUSG00000104753.1	Gm35172	2649
ENSMUSG00000090006.1	Gm16227	563
ENSMUSG00000089627.1	Gm16228	809
ENSMUSG00000090146.1	4930405H06Rik	791
ENSMUSG00000087791.1	Gm25969	132
ENSMUSG00000089743.7	Gm16226	760
ENSMUSG00000029331.3	4930522N08Rik	916
ENSMUSG00000105218.4	Gm38413	2348
ENSMUSG00000104731.1	Gm43249	458
ENSMUSG00000084445.1	Gm26252	76
ENSMUSG00000105078.2	Vamp9	841
ENSMUSG00000089062.1	Gm22838	99
ENSMUSG00000000568.15	Hnrnpd	6811
ENSMUSG00000091623.2	Gm17092	2011
ENSMUSG00000029328.15	Hnrnpdl	2752
ENSMUSG00000029326.13	Enoph1	1833
ENSMUSG00000089491.1	Gm26363	83
ENSMUSG00000050640.16	Tmem150c	3084
ENSMUSG00000086259.7	Tmem150cos	1372
ENSMUSG00000103927.1	Gm9932	2116
ENSMUSG00000100157.6	2310034O05Rik	1107
ENSMUSG00000085915.1	Gm8091	886
ENSMUSG00000035325.16	Sec31a	4228
ENSMUSG00000097772.7	5430416N02Rik	3486
ENSMUSG00000098355.1	Gm27553	74
ENSMUSG00000098396.1	Gm27997	69
ENSMUSG00000098711.1	Gm28030	138
ENSMUSG00000098793.1	Gm27286	179
ENSMUSG00000106391.1	Gm42690	1836
ENSMUSG00000035310.15	Lin54	4592
ENSMUSG00000088742.1	Gm23222	76
ENSMUSG00000105181.1	Gm19620	434
ENSMUSG00000087786.1	Gm23173	160
ENSMUSG00000035297.14	Cops4	2389
